election_num,election_year,winner,winner_party,elec_coll_votes_count,elec_coll_votes_tot,elec_coll_votes_perc,pop_votes_perc,pop_votes_perc_marg,pop_votes_count,pop_votes_count_marg,runner-up,runner-up_party,turnout
1,1788,George Washington,Ind.,69,69,100.00,100.00,100.00,43782,43782,No candidate,None,11.6
2,1792,George Washington,Ind.,132,132,100.00,100.00,100.00,28579,28579,No candidate,None,6.3
3,1796,John Adams,Fed.,71,138,51.45,53.45,6.90,35726,4611,Thomas Jefferson,D.-R.,20.1
4,1800,Thomas Jefferson,D.-R.,73,138,52.90,61.43,22.86,41330,15378,John Adams,Fed.,32.3
5,1804,Thomas Jefferson,D.-R.,162,176,92.05,72.79,45.58,104110,65191,Charles C. Pinckney,Fed.,23.8
6,1808,James Madison,D.-R.,122,175,69.72,64.73,32.33,124732,62301,Charles C. Pinckney,Fed.,36.8
7,1812,James Madison,D.-R.,128,217,58.99,50.37,2.74,140431,7650,DeWitt Clinton,D.-R.,40.4
8,1816,James Monroe,D.-R.,183,217,84.33,68.16,37.24,76592,41852,Rufus King,Fed.,23.5
9,1820,James Monroe,D.-R.,231,232,99.57,80.61,64.69,87343,69878,No candidate,Fed.,10.1
10,1824,John Quincy Adams,D.-R.,84,261,32.18,30.92,−10.44,113142,−38221,Andrew Jackson,D.-R.,26.9
11,1828,Andrew Jackson,Dem.,178,261,68.20,55.93,12.25,642806,140839,John Quincy Adams,N. R.,57.3
12,1832,Andrew Jackson,Dem.,219,286,76.57,54.74,17.81,702735,228628,Henry Clay,N. R.,57.0
13,1836,Martin Van Buren,Dem.,170,294,57.82,50.79,14.20,763291,213384,William Henry Harrison,Whig,56.5
14,1840,William Henry Harrison,Whig,234,294,79.59,52.87,6.05,1275583,145938,Martin Van Buren,Dem.,80.3
15,1844,James Polk,Dem.,170,275,61.82,49.54,1.45,1339570,39413,Henry Clay,Whig,79.2
16,1848,Zachary Taylor,Whig,163,290,56.21,47.28,4.79,1360235,137882,Lewis Cass,Dem.,72.8
17,1852,Franklin Pierce,Dem.,254,296,85.81,50.83,6.95,1605943,219525,Winfield Scott,Whig,69.5
18,1856,James Buchanan,Dem.,174,296,58.78,45.29,12.20,1835140,494472,John Frémont,Rep.,79.4
19,1860,Abraham Lincoln,Rep.,180,303,59.41,39.65,10.13,1855993,474049,John Breckinridge,Dem.,81.8
20,1864,Abraham Lincoln,Rep.,212,233,90.99,55.03,10.08,2211317,405090,George McClellan,Dem.,76.3
21,1868,Ulysses Grant,Rep.,214,294,72.79,52.66,5.32,3013790,304810,Horatio Seymour,Dem.,80.9
22,1872,Ulysses Grant,Rep.,286,352,81.25,55.58,11.80,3597439,763729,Horace Greeley,L. R.,72.1
23,1876,Rutherford Hayes,Rep.,185,369,50.14,47.92,−3.00,4034142,−252666,Samuel Tilden,Dem.,82.6
24,1880,James Garfield,Rep.,214,369,57.99,48.31,0.09,4453337,1898,Winfield Scott Hancock,Dem.,80.5
25,1884,Grover Cleveland,Dem.,219,401,54.61,48.85,0.57,4914482,57579,James Blaine,Rep.,78.2
26,1888,Benjamin Harrison,Rep.,233,401,58.10,47.80,−0.83,5443892,−90596,Grover Cleveland,Dem.,80.5
27,1892,Grover Cleveland,Dem.,277,444,62.39,46.02,3.01,5553898,363099,Benjamin Harrison,Rep.,75.8
28,1896,William McKinley,Rep.,271,447,60.63,51.02,4.31,7112138,601331,William Jennings Bryan,Dem.,79.6
29,1900,William McKinley,Rep.,292,447,65.23,51.64,6.12,7228864,857932,William Jennings Bryan,Dem.,73.7
30,1904,Theodore Roosevelt,Rep.,336,476,70.59,56.42,18.83,7630557,2546677,Alton Brooks Parker,Dem.,65.5
31,1908,William Taft,Rep.,321,483,66.46,51.57,8.53,7678335,1269356,William Jennings Bryan,Dem.,65.7
32,1912,Woodrow Wilson,Dem.,435,531,81.92,41.84,14.44,6296284,2173563,Theodore Roosevelt,Prog.,59.0
33,1916,Woodrow Wilson,Dem.,277,531,52.17,49.24,3.12,9126868,578140,Charles Evans Hughes,Rep.,61.8
34,1920,Warren Harding,Rep.,404,531,76.08,60.32,26.17,16144093,7004432,James Cox,Dem.,49.2
35,1924,Calvin Coolidge,Rep.,382,531,71.94,54.04,25.22,15723789,7337547,John Davis,Dem.,48.9
36,1928,Herbert Hoover,Rep.,444,531,83.62,58.21,17.41,21427123,6411659,Al Smith,Dem.,56.9
37,1932,Franklin Roosevelt,Dem.,472,531,88.89,57.41,17.76,22821277,7060023,Herbert Hoover,Rep.,56.9
38,1936,Franklin Roosevelt,Dem.,523,531,98.49,60.80,24.26,27752648,11070786,Alf Landon,Rep.,61.0
39,1940,Franklin Roosevelt,Dem.,449,531,84.56,54.74,9.96,27313945,4966201,Wendell Willkie,Rep.,62.4
40,1944,Franklin Roosevelt,Dem.,432,531,81.36,53.39,7.50,25612916,3594987,Thomas Dewey,Rep.,55.9
41,1948,Harry Truman,Dem.,303,531,57.06,49.55,4.48,24179347,2188055,Thomas Dewey,Rep.,52.2
42,1952,Dwight Eisenhower,Rep.,442,531,83.24,55.18,10.85,34075529,6700439,Adlai Stevenson,Dem.,62.3
43,1956,Dwight Eisenhower,Rep.,457,531,86.06,57.37,15.40,35579180,9551152,Adlai Stevenson,Dem.,60.2
44,1960,John F. Kennedy,Dem.,303,537,56.42,49.72,0.17,34220984,112827,Richard Nixon,Rep.,63.8
45,1964,Lyndon Johnson,Dem.,486,538,90.33,61.05,22.58,43127041,15951287,Barry Goldwater,Rep.,62.8
46,1968,Richard Nixon,Rep.,301,538,55.95,43.42,0.70,31783783,511944,Hubert Humphrey,Dem.,62.5
47,1972,Richard Nixon,Rep.,520,538,96.65,60.67,23.15,47168710,17995488,George McGovern,Dem.,56.2
48,1976,Jimmy Carter,Dem.,297,538,55.20,50.08,2.06,40831881,1683247,Gerald Ford,Rep.,54.8
49,1980,Ronald Reagan,Rep.,489,538,90.89,50.75,9.74,43903230,8423115,Jimmy Carter,Dem.,54.2
50,1984,Ronald Reagan,Rep.,525,538,97.58,58.77,18.21,54455472,16878120,Walter Mondale,Dem.,55.2
51,1988,George H. W. Bush,Rep.,426,538,79.18,53.37,7.72,48886597,7077121,Michael Dukakis,Dem.,52.8
52,1992,Bill Clinton,Dem.,370,538,68.77,43.01,5.56,44909806,5805256,George H. W. Bush,Rep.,58.1
53,1996,Bill Clinton,Dem.,379,538,70.45,49.23,8.51,47400125,8201370,Bob Dole,Rep.,51.7
54,2000,George W. Bush,Rep.,271,538,50.37,47.87,−0.51,50460110,−543816,Al Gore,Dem.,54.2
55,2004,George W. Bush,Rep.,286,538,53.16,50.73,2.46,62040610,3012171,John Kerry,Dem.,60.1
56,2008,Barack Obama,Dem.,365,538,67.84,52.93,7.27,69498516,9550193,John McCain,Rep.,61.6
57,2012,Barack Obama,Dem.,332,538,61.71,51.06,3.86,65915795,4982291,Mitt Romney,Rep.,58.6
58,2016,Donald Trump,Rep.,304,538,56.50,46.09,−2.09,62984828,−2868686,Hillary Clinton,Dem.,60.2
